销售量,品类
42.162,水生根茎类
58.973000000000006,水生根茎类
87.11999999999998,水生根茎类
79.33800000000002,水生根茎类
40.6,水生根茎类
49.43399999999999,水生根茎类
21.201000000000004,水生根茎类
35.91699999999999,水生根茎类
30.801,水生根茎类
67.93199999999999,水生根茎类
71.16,水生根茎类
20.666000000000004,水生根茎类
21.273000000000003,水生根茎类
32.41799999999999,水生根茎类
15.828000000000003,水生根茎类
18.769,水生根茎类
79.26499999999999,水生根茎类
71.33200000000004,水生根茎类
15.052999999999999,水生根茎类
15.726999999999999,水生根茎类
18.183,水生根茎类
8.347,水生根茎类
13.442999999999998,水生根茎类
71.41299999999997,水生根茎类
58.20700000000001,水生根茎类
14.578999999999999,水生根茎类
12.102999999999998,水生根茎类
17.155,水生根茎类
15.236999999999998,水生根茎类
13.766,水生根茎类
58.12699999999999,水生根茎类
45.35299999999999,水生根茎类
14.449999999999998,水生根茎类
24.762,水生根茎类
19.171,水生根茎类
22.977000000000004,水生根茎类
22.48,水生根茎类
95.37499999999999,水生根茎类
67.53799999999998,水生根茎类
34.986999999999995,水生根茎类
44.692000000000014,水生根茎类
38.69699999999998,水生根茎类
24.098999999999993,水生根茎类
23.178000000000004,水生根茎类
30.289,水生根茎类
31.494,水生根茎类
18.481,水生根茎类
25.028999999999993,水生根茎类
22.979000000000003,水生根茎类
35.348,水生根茎类
87.25000000000006,水生根茎类
43.517999999999994,水生根茎类
93.76099999999997,水生根茎类
60.126999999999995,水生根茎类
78.34499999999998,水生根茎类
39.897,水生根茎类
48.448,水生根茎类
55.35800000000001,水生根茎类
71.47,水生根茎类
73.57799999999996,水生根茎类
65.517,水生根茎类
51.18,水生根茎类
47.28199999999999,水生根茎类
47.928999999999995,水生根茎类
63.362,水生根茎类
85.825,水生根茎类
77.31299999999999,水生根茎类
48.46800000000001,水生根茎类
38.698,水生根茎类
43.83,水生根茎类
61.28800000000001,水生根茎类
65.984,水生根茎类
103.905,水生根茎类
93.23199999999997,水生根茎类
63.262,水生根茎类
54.92399999999999,水生根茎类
75.742,水生根茎类
73.305,水生根茎类
91.56899999999999,水生根茎类
102.214,水生根茎类
76.50500000000001,水生根茎类
68.24799999999999,水生根茎类
89.144,水生根茎类
49.852,水生根茎类
54.723,水生根茎类
53.90399999999999,水生根茎类
90.49000000000001,水生根茎类
79.563,水生根茎类
47.91099999999999,水生根茎类
55.595,水生根茎类
43.510000000000005,水生根茎类
51.428000000000004,水生根茎类
82.624,水生根茎类
67.482,水生根茎类
48.095,水生根茎类
42.26500000000001,水生根茎类
44.54599999999999,水生根茎类
48.08899999999999,水生根茎类
48.727999999999994,水生根茎类
66.893,水生根茎类
88.66399999999999,水生根茎类
86.89200000000001,水生根茎类
59.222000000000016,水生根茎类
50.074999999999996,水生根茎类
58.179999999999986,水生根茎类
48.372,水生根茎类
39.938,水生根茎类
47.57299999999999,水生根茎类
50.33999999999999,水生根茎类
47.32299999999999,水生根茎类
36.09100000000001,水生根茎类
61.40000000000001,水生根茎类
56.389999999999986,水生根茎类
55.471999999999994,水生根茎类
101.52699999999999,水生根茎类
124.54999999999998,水生根茎类
211.431,水生根茎类
296.7919999999999,水生根茎类
50.0,水生根茎类
65.07299999999998,水生根茎类
68.394,水生根茎类
67.81900000000002,水生根茎类
53.631999999999984,水生根茎类
62.32699999999999,水生根茎类
73.04399999999997,水生根茎类
60.612000000000016,水生根茎类
38.553999999999995,水生根茎类
40.444,水生根茎类
44.083999999999996,水生根茎类
54.382,水生根茎类
74.027,水生根茎类
72.50800000000001,水生根茎类
45.650999999999996,水生根茎类
49.705,水生根茎类
29.047999999999995,水生根茎类
46.406000000000006,水生根茎类
20.757,水生根茎类
28.177000000000003,水生根茎类
35.138000000000005,水生根茎类
61.735000000000014,水生根茎类
36.88899999999999,水生根茎类
26.920999999999996,水生根茎类
42.608,水生根茎类
24.890999999999995,水生根茎类
31.801,水生根茎类
21.763999999999996,水生根茎类
47.08599999999999,水生根茎类
30.295,水生根茎类
22.596999999999998,水生根茎类
19.772,水生根茎类
19.493000000000002,水生根茎类
20.852,水生根茎类
39.291999999999994,水生根茎类
39.983999999999995,水生根茎类
41.705,水生根茎类
10.113,水生根茎类
13.349,水生根茎类
14.013,水生根茎类
15.826999999999998,水生根茎类
40.178,水生根茎类
43.191,水生根茎类
30.709999999999997,水生根茎类
15.500000000000002,水生根茎类
14.905,水生根茎类
19.503,水生根茎类
20.743000000000002,水生根茎类
37.76400000000001,水生根茎类
38.785999999999994,水生根茎类
33.94999999999999,水生根茎类
24.240999999999996,水生根茎类
3.6220000000000008,水生根茎类
17.735,水生根茎类
9.582,水生根茎类
29.703999999999994,水生根茎类
22.752999999999993,水生根茎类
22.195999999999998,水生根茎类
4.178,水生根茎类
5.553,水生根茎类
19.197000000000003,水生根茎类
17.098,水生根茎类
19.018000000000004,水生根茎类
35.30200000000001,水生根茎类
22.237,水生根茎类
12.658,水生根茎类
12.166999999999998,水生根茎类
13.078000000000001,水生根茎类
11.639999999999997,水生根茎类
10.412999999999998,水生根茎类
17.178,水生根茎类
11.453999999999999,水生根茎类
11.870999999999999,水生根茎类
9.127,水生根茎类
7.359000000000001,水生根茎类
8.817999999999998,水生根茎类
14.855999999999998,水生根茎类
18.075000000000003,水生根茎类
17.439,水生根茎类
18.743,水生根茎类
8.799,水生根茎类
15.351999999999995,水生根茎类
5.991999999999999,水生根茎类
6.435999999999999,水生根茎类
11.457,水生根茎类
21.145000000000003,水生根茎类
8.059999999999999,水生根茎类
8.963000000000001,水生根茎类
6.0809999999999995,水生根茎类
14.949,水生根茎类
11.412,水生根茎类
12.399000000000001,水生根茎类
6.385999999999999,水生根茎类
5.010999999999999,水生根茎类
12.309000000000001,水生根茎类
12.199000000000002,水生根茎类
8.975000000000001,水生根茎类
4.178,水生根茎类
9.180000000000001,水生根茎类
17.229,水生根茎类
4.28,水生根茎类
5.412,水生根茎类
4.008,水生根茎类
8.319,水生根茎类
6.205000000000001,水生根茎类
9.569999999999999,水生根茎类
4.718999999999999,水生根茎类
5.404,水生根茎类
7.2170000000000005,水生根茎类
8.680999999999997,水生根茎类
11.019000000000002,水生根茎类
13.461000000000002,水生根茎类
19.495,水生根茎类
7.1819999999999995,水生根茎类
8.756999999999998,水生根茎类
7.393999999999999,水生根茎类
7.942999999999999,水生根茎类
10.34,水生根茎类
6.744000000000001,水生根茎类
22.347,水生根茎类
11.431000000000004,水生根茎类
14.048999999999996,水生根茎类
9.997999999999998,水生根茎类
5.187,水生根茎类
9.409,水生根茎类
7.902,水生根茎类
10.312999999999999,水生根茎类
10.001,水生根茎类
9.9,水生根茎类
13.910000000000004,水生根茎类
10.931000000000003,水生根茎类
6.119,水生根茎类
10.915999999999997,水生根茎类
20.953000000000003,水生根茎类
19.982000000000003,水生根茎类
9.933,水生根茎类
9.52,水生根茎类
7.464,水生根茎类
8.511999999999999,水生根茎类
10.79,水生根茎类
29.657000000000007,水生根茎类
24.213999999999995,水生根茎类
14.947,水生根茎类
7.861,水生根茎类
8.404,水生根茎类
12.209,水生根茎类
4.507,水生根茎类
14.838000000000003,水生根茎类
14.099000000000002,水生根茎类
7.559,水生根茎类
7.123000000000001,水生根茎类
14.181999999999993,水生根茎类
5.78,水生根茎类
23.636000000000003,水生根茎类
27.115000000000002,水生根茎类
30.137999999999998,水生根茎类
15.754000000000003,水生根茎类
12.512,水生根茎类
18.056999999999995,水生根茎类
17.842999999999993,水生根茎类
13.843999999999996,水生根茎类
32.221999999999994,水生根茎类
24.134,水生根茎类
16.444,水生根茎类
33.891000000000005,水生根茎类
32.418,水生根茎类
17.107000000000003,水生根茎类
20.719999999999995,水生根茎类
23.282000000000004,水生根茎类
36.22800000000001,水生根茎类
22.943,水生根茎类
27.54899999999999,水生根茎类
22.617000000000004,水生根茎类
14.855999999999998,水生根茎类
22.376,水生根茎类
28.627000000000002,水生根茎类
24.272999999999996,水生根茎类
19.711000000000006,水生根茎类
24.532000000000004,水生根茎类
20.738000000000003,水生根茎类
28.535999999999998,水生根茎类
37.72200000000001,水生根茎类
27.112000000000002,水生根茎类
49.47099999999999,水生根茎类
50.533000000000015,水生根茎类
56.14499999999998,水生根茎类
54.55,水生根茎类
28.569000000000006,水生根茎类
27.29,水生根茎类
37.69200000000001,水生根茎类
51.31299999999998,水生根茎类
38.788000000000004,水生根茎类
31.615999999999996,水生根茎类
35.36300000000001,水生根茎类
63.12599999999999,水生根茎类
56.39600000000001,水生根茎类
49.574000000000005,水生根茎类
55.37499999999998,水生根茎类
40.952999999999996,水生根茎类
31.334999999999997,水生根茎类
47.44899999999998,水生根茎类
45.63800000000001,水生根茎类
54.833999999999996,水生根茎类
66.40899999999998,水生根茎类
58.946,水生根茎类
33.471000000000004,水生根茎类
34.142,水生根茎类
38.571000000000005,水生根茎类
39.02799999999999,水生根茎类
43.85099999999999,水生根茎类
67.53199999999998,水生根茎类
57.207999999999984,水生根茎类
29.936999999999994,水生根茎类
41.43099999999999,水生根茎类
32.841,水生根茎类
35.965,水生根茎类
31.275999999999996,水生根茎类
34.827,水生根茎类
93.76999999999998,水生根茎类
94.88199999999998,水生根茎类
93.25600000000003,水生根茎类
29.818000000000005,水生根茎类
19.215999999999998,水生根茎类
32.31400000000001,水生根茎类
43.443999999999996,水生根茎类
48.23,水生根茎类
42.395,水生根茎类
33.696999999999996,水生根茎类
39.562999999999995,水生根茎类
38.451,水生根茎类
69.80900000000001,水生根茎类
61.24600000000001,水生根茎类
51.09599999999999,水生根茎类
39.501,水生根茎类
53.81300000000001,水生根茎类
50.349,水生根茎类
51.56999999999999,水生根茎类
49.695,水生根茎类
41.19799999999999,水生根茎类
58.704,水生根茎类
45.35099999999999,水生根茎类
29.952999999999996,水生根茎类
36.526,水生根茎类
38.263999999999996,水生根茎类
65.659,水生根茎类
54.821,水生根茎类
56.019999999999996,水生根茎类
44.51299999999999,水生根茎类
42.73799999999999,水生根茎类
41.24799999999998,水生根茎类
46.91,水生根茎类
45.31499999999999,水生根茎类
61.273999999999994,水生根茎类
47.916999999999994,水生根茎类
33.69599999999999,水生根茎类
37.216,水生根茎类
36.161,水生根茎类
37.949000000000005,水生根茎类
40.045,水生根茎类
59.756,水生根茎类
55.961,水生根茎类
44.315999999999995,水生根茎类
39.893,水生根茎类
39.940999999999995,水生根茎类
42.36599999999999,水生根茎类
58.695999999999984,水生根茎类
63.927,水生根茎类
64.62199999999999,水生根茎类
58.81100000000002,水生根茎类
43.617000000000004,水生根茎类
49.851,水生根茎类
35.903000000000006,水生根茎类
50.696000000000005,水生根茎类
55.708,水生根茎类
53.00099999999999,水生根茎类
28.879000000000005,水生根茎类
19.63,水生根茎类
34.260000000000005,水生根茎类
21.426,水生根茎类
28.706,水生根茎类
54.147000000000006,水生根茎类
47.590999999999994,水生根茎类
32.75,水生根茎类
31.403,水生根茎类
33.315000000000005,水生根茎类
30.29900000000001,水生根茎类
41.234,水生根茎类
58.679999999999986,水生根茎类
49.545999999999964,水生根茎类
29.92000000000001,水生根茎类
30.368999999999996,水生根茎类
30.014999999999997,水生根茎类
25.403999999999993,水生根茎类
18.925000000000004,水生根茎类
62.259,水生根茎类
50.99400000000001,水生根茎类
12.844,水生根茎类
31.830999999999985,水生根茎类
25.31899999999999,水生根茎类
25.262,水生根茎类
32.79199999999999,水生根茎类
124.24000000000007,水生根茎类
61.19800000000002,水生根茎类
21.831999999999994,水生根茎类
33.17499999999998,水生根茎类
2.6020000000000003,水生根茎类
39.56899999999999,水生根茎类
40.15399999999999,水生根茎类
70.551,水生根茎类
67.19000000000003,水生根茎类
38.282999999999994,水生根茎类
48.36900000000003,水生根茎类
31.468999999999994,水生根茎类
30.020999999999994,水生根茎类
35.440999999999995,水生根茎类
66.839,水生根茎类
95.58400000000002,水生根茎类
42.15500000000002,水生根茎类
35.053999999999995,水生根茎类
34.882,水生根茎类
37.370000000000005,水生根茎类
60.713000000000044,水生根茎类
82.65800000000002,水生根茎类
27.437999999999995,水生根茎类
59.009000000000015,水生根茎类
46.59800000000001,水生根茎类
34.150000000000006,水生根茎类
34.19799999999999,水生根茎类
46.044999999999995,水生根茎类
60.00599999999999,水生根茎类
59.74100000000001,水生根茎类
56.152999999999984,水生根茎类
29.823999999999998,水生根茎类
41.62599999999999,水生根茎类
22.185,水生根茎类
48.28499999999999,水生根茎类
56.82500000000002,水生根茎类
52.79399999999999,水生根茎类
42.31199999999998,水生根茎类
32.417999999999985,水生根茎类
50.388999999999996,水生根茎类
55.56000000000001,水生根茎类
58.294000000000004,水生根茎类
64.68200000000002,水生根茎类
68.28500000000001,水生根茎类
38.075999999999986,水生根茎类
70.84899999999999,水生根茎类
64.85800000000003,水生根茎类
95.02500000000002,水生根茎类
197.93400000000003,水生根茎类
200.90500000000003,水生根茎类
234.67799999999997,水生根茎类
38.25,水生根茎类
37.868,水生根茎类
7.01,水生根茎类
55.923,水生根茎类
2.2030000000000003,水生根茎类
66.87999999999997,水生根茎类
41.735,水生根茎类
29.778,水生根茎类
30.194,水生根茎类
29.540000000000003,水生根茎类
38.28599999999999,水生根茎类
58.41699999999999,水生根茎类
38.75699999999999,水生根茎类
24.829000000000004,水生根茎类
50.086999999999996,水生根茎类
25.24,水生根茎类
38.54,水生根茎类
34.69500000000001,水生根茎类
38.763,水生根茎类
35.58,水生根茎类
26.034,水生根茎类
25.200999999999997,水生根茎类
17.076000000000004,水生根茎类
19.77800000000001,水生根茎类
43.644,水生根茎类
40.830999999999996,水生根茎类
33.006,水生根茎类
27.838,水生根茎类
5.051,水生根茎类
23.171,水生根茎类
27.705,水生根茎类
21.275999999999996,水生根茎类
44.23000000000002,水生根茎类
47.11900000000001,水生根茎类
24.48199999999999,水生根茎类
6.754,水生根茎类
17.200000000000003,水生根茎类
16.626,水生根茎类
29.63,水生根茎类
37.32900000000001,水生根茎类
28.204000000000008,水生根茎类
15.345,水生根茎类
15.025999999999998,水生根茎类
16.886,水生根茎类
30.851,水生根茎类
28.67400000000001,水生根茎类
45.815000000000005,水生根茎类
43.59199999999999,水生根茎类
25.39099999999999,水生根茎类
27.306,水生根茎类
15.255000000000004,水生根茎类
16.899,水生根茎类
43.221,水生根茎类
43.227,水生根茎类
41.214,水生根茎类
19.777,水生根茎类
27.389000000000003,水生根茎类
30.993000000000002,水生根茎类
25.437,水生根茎类
34.452,水生根茎类
42.99799999999999,水生根茎类
31.759,水生根茎类
21.709999999999997,水生根茎类
5.8549999999999995,水生根茎类
6.533,水生根茎类
6.366,水生根茎类
11.218000000000002,水生根茎类
18.379,水生根茎类
1.03,水生根茎类
7.538,水生根茎类
4.609999999999999,水生根茎类
6.494999999999999,水生根茎类
14.179999999999998,水生根茎类
15.042,水生根茎类
9.701,水生根茎类
3.024,水生根茎类
5.106,水生根茎类
2.7720000000000002,水生根茎类
3.552,水生根茎类
7.417000000000001,水生根茎类
9.766999999999998,水生根茎类
4.52,水生根茎类
4.202,水生根茎类
4.905,水生根茎类
2.3980000000000006,水生根茎类
2.1390000000000002,水生根茎类
7.15,水生根茎类
9.219999999999999,水生根茎类
10.863000000000001,水生根茎类
8.503,水生根茎类
2.868,水生根茎类
6.398,水生根茎类
1.193,水生根茎类
3.42,水生根茎类
4.659999999999999,水生根茎类
4.476,水生根茎类
3.5380000000000003,水生根茎类
5.180999999999999,水生根茎类
2.043,水生根茎类
5.1339999999999995,水生根茎类
2.7920000000000003,水生根茎类
11.341,水生根茎类
6.072,水生根茎类
4.637,水生根茎类
1.853,水生根茎类
0.9259999999999999,水生根茎类
3.4250000000000007,水生根茎类
3.575,水生根茎类
4.691,水生根茎类
4.885,水生根茎类
4.436999999999999,水生根茎类
3.361,水生根茎类
4.619,水生根茎类
4.438000000000001,水生根茎类
8.857999999999999,水生根茎类
8.906000000000002,水生根茎类
7.44,水生根茎类
6.684000000000001,水生根茎类
6.6110000000000015,水生根茎类
5.0840000000000005,水生根茎类
11.330000000000004,水生根茎类
14.235,水生根茎类
5.135,水生根茎类
10.109,水生根茎类
5.252999999999999,水生根茎类
6.312,水生根茎类
6.725,水生根茎类
5.241,水生根茎类
9.447000000000001,水生根茎类
9.209,水生根茎类
10.588000000000003,水生根茎类
3.944,水生根茎类
14.604000000000003,水生根茎类
5.184,水生根茎类
5.347,水生根茎类
6.549,水生根茎类
18.484,水生根茎类
15.541000000000002,水生根茎类
8.896,水生根茎类
6.063000000000001,水生根茎类
13.806000000000003,水生根茎类
5.402000000000001,水生根茎类
25.878,水生根茎类
40.332,水生根茎类
31.363999999999997,水生根茎类
12.658999999999999,水生根茎类
19.501,水生根茎类
16.118000000000002,水生根茎类
10.625,水生根茎类
15.086,水生根茎类
28.666999999999987,水生根茎类
63.873,水生根茎类
20.218999999999998,水生根茎类
34.508,水生根茎类
39.017999999999994,水生根茎类
43.066,水生根茎类
32.712999999999994,水生根茎类
44.590999999999994,水生根茎类
35.702999999999996,水生根茎类
43.10300000000001,水生根茎类
29.78000000000001,水生根茎类
31.995000000000015,水生根茎类
12.376000000000001,水生根茎类
43.241,水生根茎类
107.27199999999999,水生根茎类
131.3,水生根茎类
57.441999999999986,水生根茎类
90.19,水生根茎类
89.35499999999998,水生根茎类
75.92,水生根茎类
44.430000000000014,水生根茎类
67.395,水生根茎类
112.09099999999998,水生根茎类
90.63299999999998,水生根茎类
68.86299999999999,水生根茎类
71.08700000000002,水生根茎类
70.756,水生根茎类
66.92499999999998,水生根茎类
71.29299999999998,水生根茎类
131.59099999999998,水生根茎类
91.813,水生根茎类
28.385,水生根茎类
95.58900000000001,水生根茎类
64.17099999999999,水生根茎类
43.93099999999998,水生根茎类
106.723,水生根茎类
89.74599999999997,水生根茎类
86.53099999999999,水生根茎类
54.281000000000006,水生根茎类
89.973,水生根茎类
70.377,水生根茎类
79.938,水生根茎类
139.76100000000014,水生根茎类
97.04399999999998,水生根茎类
102.92499999999994,水生根茎类
69.881,水生根茎类
104.09499999999994,水生根茎类
81.50300000000001,水生根茎类
144.45099999999996,水生根茎类
95.698,水生根茎类
87.97099999999995,水生根茎类
66.48799999999999,水生根茎类
86.20500000000001,水生根茎类
57.232000000000006,水生根茎类
51.21900000000001,水生根茎类
48.72000000000001,水生根茎类
104.45799999999996,水生根茎类
102.83900000000003,水生根茎类
59.775000000000006,水生根茎类
93.29299999999999,水生根茎类
28.993999999999996,水生根茎类
56.77000000000001,水生根茎类
53.186000000000014,水生根茎类
88.58899999999998,水生根茎类
124.54999999999998,水生根茎类
60.192000000000014,水生根茎类
54.584000000000024,水生根茎类
58.28400000000001,水生根茎类
46.65799999999999,水生根茎类
111.67599999999997,水生根茎类
155.46700000000004,水生根茎类
97.36299999999993,水生根茎类
101.79799999999999,水生根茎类
86.33300000000003,水生根茎类
38.614999999999995,水生根茎类
41.022000000000006,水生根茎类
38.515,水生根茎类
52.368,水生根茎类
97.068,水生根茎类
77.74700000000001,水生根茎类
61.265,水生根茎类
37.236,水生根茎类
36.981,水生根茎类
35.474999999999994,水生根茎类
35.991,水生根茎类
63.12000000000001,水生根茎类
98.46199999999997,水生根茎类
67.58800000000002,水生根茎类
32.213,水生根茎类
29.485000000000003,水生根茎类
13.926,水生根茎类
74.21600000000001,水生根茎类
60.306000000000004,水生根茎类
22.799,水生根茎类
31.054,水生根茎类
21.313,水生根茎类
17.046,水生根茎类
40.363,水生根茎类
73.358,水生根茎类
54.61599999999999,水生根茎类
27.893,水生根茎类
31.819999999999993,水生根茎类
17.224,水生根茎类
40.67900000000001,水生根茎类
59.90100000000001,水生根茎类
183.30700000000004,水生根茎类
65.057,水生根茎类
264.6570000000001,水生根茎类
30.540999999999997,水生根茎类
50.24,水生根茎类
29.737999999999992,水生根茎类
62.003000000000014,水生根茎类
37.043000000000006,水生根茎类
3.165,水生根茎类
1.8090000000000002,水生根茎类
9.193999999999999,水生根茎类
18.158,水生根茎类
67.863,水生根茎类
64.33099999999999,水生根茎类
47.48,水生根茎类
30.039,水生根茎类
73.28000000000002,水生根茎类
63.38500000000001,水生根茎类
30.168000000000003,水生根茎类
50.43399999999998,水生根茎类
29.923,水生根茎类
60.996,水生根茎类
59.198000000000015,水生根茎类
97.79099999999998,水生根茎类
65.11699999999999,水生根茎类
67.12200000000001,水生根茎类
53.79199999999999,水生根茎类
61.72700000000001,水生根茎类
45.018,水生根茎类
54.48700000000001,水生根茎类
61.87400000000001,水生根茎类
105.129,水生根茎类
56.004,水生根茎类
72.51400000000002,水生根茎类
60.28599999999999,水生根茎类
66.287,水生根茎类
62.52500000000001,水生根茎类
103.271,水生根茎类
92.50300000000001,水生根茎类
54.333999999999996,水生根茎类
50.818000000000005,水生根茎类
48.908,水生根茎类
32.701,水生根茎类
59.669999999999995,水生根茎类
53.524,水生根茎类
56.788,水生根茎类
39.958999999999996,水生根茎类
45.848,水生根茎类
44.885000000000005,水生根茎类
43.650000000000006,水生根茎类
31.759000000000007,水生根茎类
112.72400000000002,水生根茎类
92.61,水生根茎类
61.379,水生根茎类
86.31899999999999,水生根茎类
84.28,水生根茎类
157.12399999999997,水生根茎类
252.07399999999993,水生根茎类
39.08,水生根茎类
46.756,水生根茎类
84.83399999999996,水生根茎类
97.229,水生根茎类
72.927,水生根茎类
87.434,水生根茎类
63.87299999999998,水生根茎类
48.473,水生根茎类
52.382999999999996,水生根茎类
40.68300000000001,水生根茎类
32.28099999999999,水生根茎类
32.252,水生根茎类
54.970000000000006,水生根茎类
85.60499999999999,水生根茎类
83.513,水生根茎类
11.684,水生根茎类
25.65299999999999,水生根茎类
39.34699999999999,水生根茎类
42.757000000000005,水生根茎类
49.257000000000005,水生根茎类
77.14900000000002,水生根茎类
74.08699999999995,水生根茎类
30.456,水生根茎类
39.561,水生根茎类
41.208999999999996,水生根茎类
32.782999999999994,水生根茎类
28.470999999999997,水生根茎类
65.74500000000002,水生根茎类
48.26799999999999,水生根茎类
24.15,水生根茎类
24.144000000000005,水生根茎类
31.124000000000002,水生根茎类
22.517000000000003,水生根茎类
35.391000000000005,水生根茎类
41.824000000000005,水生根茎类
34.64,水生根茎类
13.331,水生根茎类
21.011,水生根茎类
15.747999999999998,水生根茎类
21.735,水生根茎类
29.054000000000002,水生根茎类
34.038,水生根茎类
31.386,水生根茎类
18.410999999999998,水生根茎类
19.542,水生根茎类
17.906,水生根茎类
22.284,水生根茎类
21.612,水生根茎类
38.49,水生根茎类
33.314,水生根茎类
18.418,水生根茎类
9.611999999999998,水生根茎类
17.683,水生根茎类
25.920999999999996,水生根茎类
46.06500000000001,水生根茎类
52.936,水生根茎类
41.768,水生根茎类
22.99,水生根茎类
12.098,水生根茎类
17.709,水生根茎类
25.455,水生根茎类
22.479,水生根茎类
40.77600000000001,水生根茎类
30.047,水生根茎类
15.436000000000002,水生根茎类
14.816,水生根茎类
23.049,水生根茎类
13.154000000000003,水生根茎类
22.160999999999998,水生根茎类
26.836,水生根茎类
27.876,水生根茎类
29.720999999999997,水生根茎类
14.976999999999997,水生根茎类
24.199,水生根茎类
9.889,水生根茎类
16.628999999999998,水生根茎类
20.729999999999993,水生根茎类
30.083999999999996,水生根茎类
17.867999999999995,水生根茎类
7.577,水生根茎类
19.088,水生根茎类
15.052,水生根茎类
26.338,水生根茎类
28.049000000000003,水生根茎类
16.458000000000002,水生根茎类
7.065999999999999,水生根茎类
15.097,水生根茎类
12.216000000000001,水生根茎类
12.171,水生根茎类
28.934,水生根茎类
27.103,水生根茎类
10.290999999999999,水生根茎类
13.280000000000001,水生根茎类
9.993000000000002,水生根茎类
4.702000000000001,水生根茎类
11.675,水生根茎类
14.078000000000001,水生根茎类
24.692999999999998,水生根茎类
16.983,水生根茎类
22.754,水生根茎类
20.190999999999992,水生根茎类
11.585999999999999,水生根茎类
9.036999999999999,水生根茎类
13.454000000000002,水生根茎类
17.781000000000006,水生根茎类
18.818,水生根茎类
9.628,水生根茎类
7.406,水生根茎类
10.335999999999999,水生根茎类
9.518,水生根茎类
16.347,水生根茎类
20.655,水生根茎类
15.86,水生根茎类
7.4750000000000005,水生根茎类
9.603000000000002,水生根茎类
12.893000000000002,水生根茎类
8.811999999999998,水生根茎类
9.66,水生根茎类
11.093999999999996,水生根茎类
13.615,水生根茎类
8.411000000000001,水生根茎类
14.636999999999999,水生根茎类
9.414,水生根茎类
13.962000000000003,水生根茎类
20.081,水生根茎类
24.969999999999995,水生根茎类
22.807,水生根茎类
12.75,水生根茎类
8.851999999999999,水生根茎类
7.860000000000001,水生根茎类
9.741000000000003,水生根茎类
11.987999999999998,水生根茎类
29.040999999999993,水生根茎类
21.046999999999997,水生根茎类
12.58,水生根茎类
14.407999999999998,水生根茎类
14.142000000000005,水生根茎类
9.254,水生根茎类
15.815999999999999,水生根茎类
19.118000000000002,水生根茎类
21.247,水生根茎类
10.351,水生根茎类
12.053999999999998,水生根茎类
7.284,水生根茎类
16.733,水生根茎类
15.490000000000004,水生根茎类
22.625999999999998,水生根茎类
23.37299999999999,水生根茎类
